Country,obs_y,cond_y,obs_b,cond_b,excess_debt,comp_gap,cont_gap
AUS,-3.87792490806781,-3.87231505725039,11.6947008501196,11.0628658450386,0.631835005080979,386.835234426346,617.034273849972
AUT,-4.85973846680309,-4.44948127400698,11.9916017846985,11.8494244347255,0.142177349972926,317.301290675172,2204.18321549529
BEL,-4.96930602584897,-4.31191840408457,13.181429210671,11.6984200662795,1.48300914439144,196.325133851168,2924.14001062735
CAN,-4.04835972077762,-4.06286086707256,12.5884275156267,11.5846909067136,1.00373660891313,160.369532355788,508.81607569176
CHE,-4.34176066850566,-4.00290616569308,10.3175736787059,10.2239633587419,0.0936103199640437,251.038676168198,2997.29525854088
CHL,-5.02887456843613,-5.02887456843613,18.0037509489608,18.0037509489608,0,0,7146.9683638984
COL,-6.11375552501428,-6.11375552501428,13.3239285500418,13.3239285500418,0,0,21520.1483667327
CRI,-5.38923099169591,-4.89530722757111,11.9133209652629,12.0436924594791,-0.130371494216248,125.07165025925,3482.27735474274
CZE,-4.85050830640187,-4.43133195440377,14.09754180099,11.4763917505761,2.62115005041392,25.3308176595256,8946.69533167898
DEU,-4.40149779704167,-4.33266756858809,15.0285395544175,11.55892647552,3.46961307889755,252.038056195495,746.65352281899
DNK,-4.23162164996194,-3.85226867258145,14.2841717507575,10.3739610668628,3.91021068389469,60.7886093883279,356.421314809072
ESP,-4.72959715815516,-4.40231856261224,13.7003124684056,11.8399170059472,1.86039546245841,684.262775196781,1524.16858456488
EST,-3.60918187070247,-3.35043426169035,10.452691783117,10.264942631988,0.18774915112902,109.610497997738,2346.38768858062
FIN,-3.36335351183151,-3.17450777279517,9.56563817892065,9.43896474230296,0.126673436617684,391.726580046856,572.962633206214
FRA,-4.91950350718926,-4.36098361875977,13.9782190279583,11.7128757158213,2.26534331213707,89.5081959044147,789.515881956326
GBR,-4.59265356874049,-4.51135565245075,14.2495798402463,12.3631462987895,1.88643354145679,282.117021883864,3601.33888028704
GRC,-5.78438189524438,-5.22948500836388,15.3311954912603,14.0135876761051,1.31760781515522,222.659732010441,2684.06291409151
HUN,-4.67992996517412,-4.1832501372656,11.2231793173256,11.4235287002807,-0.200349382955137,51.611868907863,5266.4565241882
IRL,-5.01955323126048,-4.65825384068894,12.5594447306488,12.2398004333406,0.319644297308211,525.054855548873,1006.82242324685
ISL,-3.44303465396974,-3.33981968270592,9.77727155227629,9.40792396463447,0.369347587641813,233.635788912077,1474.94701538053
ISR,-4.81792741953948,-4.53110270203602,12.659642520063,12.2730972967883,0.38654522327468,92.0632719191294,1764.92209000677
ITA,-6.63525657028222,-5.43879391960024,18.61291690649,12.9905492049675,5.62236770152243,459.289580720616,2385.38762492073
JPN,-2.97417718197452,-3.3347850254043,14.5621440039187,9.72662426190813,4.83551974201055,177.374086165498,105.416352968136
KOR,-4.17568365266019,-3.83550874026616,11.3791771755442,11.2423542954145,0.136822880129668,646.736542763187,1102.14487655103
LTU,-4.67344437914177,-4.27157455891772,12.611947742391,12.1853506076686,0.426597134722415,579.512052505008,9547.35653510357
LUX,-4.00806448518424,-3.8592305749558,8.98427783438817,9.06544394672394,-0.081166112335776,20.7421586795022,1154.83691031656
LVA,-4.2271600270343,-4.05276153897956,10.8410004179927,10.5883148165383,0.2526856014544,52.2253445013639,4949.73863580785
MEX,-5.3246735344102,-5.3246735344102,10.4958914551369,10.4958914551369,0,0,30472.2448218234
NLD,-5.04468690056948,-4.68083200278318,11.7443157098096,11.5926833740043,0.151632335805288,241.110889870947,1653.95239038214
NOR,-3.94942095224139,-3.8687575075852,8.78579174479638,8.52156149882187,0.264230245974516,478.871331657555,655.631402470042
NZL,-3.02999616540425,-3.02667377145981,10.7457257542658,9.39362969229964,1.35209606196616,197.328014419103,367.982362434518
POL,-4.87345588405593,-4.87345588405593,11.8517462549765,11.8517462549765,0,0,8799.37058727425
PRT,-5.09569997340273,-4.76800709914874,12.6808520410465,12.3353584346337,0.345493606412828,582.723981077774,1794.46815301959
SVK,-4.84933809926738,-4.5008641631927,10.6974026027946,10.1959975616884,0.501405041106177,118.98692189328,12997.9691781653
SVN,-5.11088169016311,-4.50765752542358,12.9726288594769,11.9753435738987,0.997285285578174,23.1868446494591,6139.65110301119
SWE,-4.32886793327947,-4.25927114189206,9.68470297302147,9.53057207102343,0.154130901998047,78.5246493434174,1179.40240436385
TUR,-5.32307525555737,-5.32307525555737,12.0663172056057,12.0663172056057,0,0,9230.60447752226
USA,-4.11682698667016,-4.11682698667016,14.474026587676,14.474026587676,0,0,4530.19315516124
