Country,J_obs,J_A,J_B,cost_comp,cost_timing,cost_total,pct_comp,pct_timing,dy_A,db_A,dy_B,db_B,cp_obs,cp_cfA,cp_cfB,pareto_dominated
AUS,1.15555702844525,0.967535545705076,0.903125203425041,0.188021482740174,0.0644103422800348,0.252431825020209,74.4840642518516,25.5159357481484,0.0164322667668804,-0.415240772002593,0.368748117354676,-0.329587722127308,74.5001785272271,9.29461874188534,9.3138464790107,1
AUT,4.03039389675606,3.87844694861952,3.24450831539188,0.151946948136541,0.633938633227637,0.785885581364178,19.3344873273771,80.6655126726229,0.00537252998943916,-0.183684484262243,-0.00208797852002951,-1.67949426413505,89.2748984956674,22.3342382876087,100,1
BEL,1.48584421633066,1.45659874345855,1.07466909138429,0.0292454728721128,0.381929652074259,0.411175124946372,7.1126561646761,92.8873438353239,-0.0210064347831451,-0.248310543733234,0.0230859958640629,-2.09951030662052,90.7723403967044,100,100,1
CAN,3.38731066442074,3.28650976402402,2.71526660196598,0.100800900396717,0.571243162058039,0.672044062454757,14.9991505063707,85.0008494936292,-0.0296710198961849,-0.348854865248899,-0.0300315779914944,-1.85966808656858,59.2304084643583,100,100,0
CHE,0.71666325782234,0.677944616534042,0.596142457955292,0.0387186412882985,0.08180215857875,0.120520799867048,32.126107137532,67.873892862468,0.000987102299709539,0.341801200952394,0.0151132746734383,-0.577395045141786,98.4058180720087,62.0982302944896,70.4939413176964,1
CHL,1.32465721503628,1.0938021751881,0.816597472199663,0.23085503984818,0.277204702988441,0.508059742836621,45.4385617248987,54.5614382751013,-0.0563179655920176,-1.58119162766348,0.0090413611880516,-2.79233981893103,53.2762643615123,92.9767773413097,88.9992025039253,1
COL,2.26427531513894,2.1344073452845,2.0052649860177,0.12986796985444,0.129142359266803,0.259010329121243,50.1400736777754,49.8599263222246,-0.00493419998817352,-0.249862947223094,-0.0153982622857409,-0.682376134161551,59.7463294966592,61.4457054312535,100,0
CRI,4.85108181311104,4.83824857368536,4.33698568002462,0.0128332394256843,0.501262893660736,0.51409613308642,2.49627231168591,97.5037276883141,-0.00120822588450149,-0.0489543380401025,-0.000883006137234604,-0.891802518378682,84.2888960053935,98.1344559125957,100,1
CZE,4.13487522722323,4.03547412558512,3.02551585979544,0.0994011016381142,1.00995826578968,1.10935936742779,8.96022556411003,91.03977443589,-0.00453745941513886,-0.456412820220391,0.0874549732020599,-3.62360905575419,88.8795712802265,100,100,1
DEU,2.25016343426703,2.22108527803739,1.47023968747476,0.0290781562296383,0.750845590562633,0.779923746792271,3.72833323119511,96.2716667688049,-0.00330145473493582,-0.0286447928194662,0.335183358391083,-3.02343560471379,91.3191123121173,93.3199601800924,99.8523376053577,1
DNK,0.98866090342222,0.808780292561387,0.571314170437939,0.179880610860833,0.237466122123447,0.41734673298428,43.1009989163156,56.8990010836844,0.00255899819783826,-0.314550393837928,0.296597316717845,-0.806228546847058,82.4431575426129,47.6694966594095,55.2350149949071,1
ESP,6.08651934939676,6.05035976512913,4.62921620282184,0.0361595842676268,1.42114356230729,1.45730314657492,2.48126715108056,97.5187328489194,-0.000661883206762304,-0.275354775840453,0.0303663541343938,-3.09249998418662,91.2745207409971,100,100,1
EST,2.42506491301702,2.39844134659246,1.84966281462079,0.0266235664245613,0.548778531971676,0.575402098396237,4.62694983191174,95.3730501680883,0.000698803336340176,0.25341606519854,0.0750872281508247,-1.92567716150675,97.0992271305067,67.3468439773549,100,1
FIN,1.93612167285409,1.88496515779414,1.49393373878132,0.0511565150599471,0.391031419012818,0.442187934072765,11.5689531798778,88.4310468201222,-0.00193872635578796,-0.284394584115135,0.00246584069443119,-1.87193171302196,80.1129877777279,100,100,1
FRA,2.7371200125045,2.69933587557911,1.7506839660146,0.0377841369253931,0.948651909564509,0.986436046489902,3.83036863462591,96.1696313653741,-0.0339774054170235,0.213926258938994,0.00589959312022256,-3.37410535914635,94.8701348858075,84.79123165128,100,1
GBR,4.91988758140757,4.81138317137729,3.46315871694578,0.108504410030283,1.34822445443151,1.45672886446179,7.44849729262218,92.5515027073778,0.000400737162133818,-0.104018079382502,0.180844343756818,-2.87208983994453,92.0534223534628,86.3851197272674,100,1
GRC,2.78085107228775,2.50483747475804,2.20485546420653,0.27601359752971,0.299982010551508,0.575995608081219,47.9193927275208,52.0806072724792,0.0956354770732293,-0.388455314011839,0.117927235139138,-1.70765717322022,86.0077135362859,11.1379924517706,92.1321127906305,1
HUN,3.25303365016729,3.19382972627847,2.63637218413697,0.0592039238888189,0.5574575421415,0.616661466030319,9.60071727360179,90.3992827263982,-0.0156459924237705,-0.19113642968657,-0.028715171994368,-1.58943514312384,84.4877598760903,97.2104236451,100,0
IRL,2.43553795108511,2.38578712704788,2.12943070029055,0.0497508240372331,0.256356426757324,0.306107250794557,16.2527427586559,83.7472572413441,-0.0528005409494881,0.101882459601568,-0.163585984535317,0.523223264606282,63.3946362624946,66.5471162736685,99.49432577018,0
ISL,5.42027507406133,5.24382785771301,4.69493884441354,0.176447216348318,0.548889013299479,0.725336229647796,24.3262654112832,75.6737345887168,-0.00443727771009261,-0.191514530272079,-0.0301282349382759,-1.38430913871137,67.2790879733829,68.4503131421861,100,0
ISR,2.72385142263658,2.56074211826267,2.25176275642172,0.163109304373903,0.308979361840954,0.472088666214858,34.5505656133818,65.4494343866182,0.00194450110448932,-0.251654455762323,0.00691349071222586,-1.37284431021035,50.128370500831,18.1411703420733,100,1
ITA,2.37798989566449,2.31740963462221,1.44669960258547,0.060580261042281,0.870710032036738,0.931290293079019,6.50498147489451,93.4950185251055,-0.0100461858012952,0.246011224895329,0.120302977262635,-2.84827346654985,96.9167042530665,84.9480074860076,100,1
JPN,3.78607687342048,4.04989252054524,3.04291301434762,-0.263815647124758,1.00697950619762,0.743163859072863,-35.4989877271323,135.498987727132,-0.0398467342086255,0.387590072569161,0.253067332124115,-2.14029135315425,84.801005075756,76.4021043259586,99.769646607142,1
KOR,1.54334314470997,1.39075279471434,1.23425375777471,0.15259034999563,0.156499036939634,0.309089386935264,49.3677092923248,50.6322907076752,8.72478022558021e-05,-0.185420375034041,0.0248792988790023,-1.44944575299387,80.8447020624509,66.2374511315776,100,1
LTU,1.41662652094527,1.35152118393182,1.10938899915155,0.06510533701345,0.242132184780274,0.307237521793724,21.1905553180321,78.8094446819679,0.00844068924638151,-0.0625855891076506,0.0175269851240181,-1.51330484903155,69.0029650919542,11.2473396030779,99.877649666651,1
LUX,1.44372672815336,1.44208523572288,1.27264330488913,0.00164149243047551,0.169441930833751,0.171083423264227,0.95946901175828,99.0405309882417,-0.000150690660113625,-0.00745444894305475,-0.041849070408128,-1.0387614568006,98.7560976741811,100,100,0
LVA,3.10904264879848,3.10437221697307,2.65638284982408,0.00467043182540916,0.447989367148994,0.452659798974403,1.03177526168461,98.9682247383154,-0.000129508599924083,-0.0126950435664089,0.0101121779159299,-1.19404585924552,98.1071026556088,100,100,1
MEX,3.99678004226519,3.97895688273449,3.90100901823397,0.0178231595306917,0.0779478645005209,0.0957710240312126,18.6101795516804,81.3898204483196,0.000331160992568524,0.00935106224140697,0.00151988445696513,-0.249310945542352,46.6478961636695,8.18870457378465,100,1
NLD,1.50177077777374,1.4212835726302,1.17757864124853,0.0804872051435481,0.243704931381667,0.324192136525215,24.8270072205431,75.1729927794569,-0.00289320148230687,0.111557411682179,0.00277803215952607,-1.36430640159711,88.9686439721201,26.9250652136452,100,1
NOR,0.698618814924753,0.67003329009389,0.621790325271385,0.0285855248308629,0.048242964822505,0.0768284896533679,37.2069332090661,62.7930667909339,0.000462185644292332,0.406414973983372,-0.0370611286448868,-0.42565003486599,98.1976321185264,43.3725775514254,77.2032507395048,0
NZL,5.43971138771239,5.02149887473367,4.46216197656141,0.418212512978727,0.559336898172259,0.977549411150986,42.7817262440284,57.2182737559716,-9.57274169325478e-05,-0.492639365570965,0.128188491777108,-1.74973185037643,73.1739060287184,29.2332789559543,92.1431987277133,1
POL,2.46195797231859,2.34603424800105,1.86670583625603,0.115923724317537,0.479328411745025,0.595252136062562,19.4747263041074,80.5252736958926,0.00341915433588191,0.0620824062084219,0.0143182151484008,-1.85500615133517,84.2225208905511,19.3354467363992,100,1
PRT,3.43827289830197,3.32333437024237,2.74607946251107,0.114938528059597,0.577254907731303,0.6921934357909,16.6049722688092,83.3950277311908,0.00120037217539032,0.997958733705684,0.0153368915818179,-2.01559047992537,89.872474190568,30.0781415560642,100,1
SVK,3.12323222518392,2.94068610611316,2.66384182516044,0.182546119070753,0.276844280952719,0.459390400023471,39.7365985578771,60.2634014421229,0.0733380804271974,-0.477761079475808,-0.0289129673437048,-1.14524381457538,98.3866970385471,1.36720589953633,99.9999967739167,0
SVN,4.69552548409535,4.59700679809787,3.53503124302727,0.0985186859974814,1.0619755550706,1.16049424106808,8.48937310596288,91.5106268940371,0.00148242938061705,0.0322821016817798,0.0190841169709001,-2.40307204214464,95.9376111937215,66.1591379036538,100,1
SWE,1.12179588958209,1.10542546973847,0.984106206780806,0.0163704198436201,0.12131926295766,0.13768968280128,11.8893583822447,88.1106416177553,0.00136485111448068,0.327575664641727,0.00618545693212421,-0.72239453375285,91.7146319132039,35.906700875885,100,1
TUR,0.841141968663748,0.831746541909041,0.77156606892316,0.00939542675470717,0.0601804729858804,0.0695758997405875,13.5038523249255,86.4961476750745,-0.0102571505041421,-0.0617501581555636,0.0199091680610337,-0.328724314528139,95.6414443544019,100,100,1
USA,5.79605481578344,5.67216212908862,4.84964961650525,0.123892686694822,0.822512512583367,0.946405199278189,13.0908713085381,86.9091286914619,-0.0235577562608613,-0.0900077233781854,0.0786844523663902,-1.57371686659932,56.7424595704533,67.978542814213,100,1
