Country,F_total_pct,CP_share_pct,CP_output_pp,DI_output_pp,Interaction_pp,Total_output_pp,CP_debt_pp,DI_debt_pp,Total_debt_pp,CP_efficiency,DI_efficiency
AUS,16.0213086612373,74.5001785272271,1.69900879509384,1.54912412381985,-0.00997969169433333,3.25811261060802,4.32027682567014,1.25061743545051,5.56893882697576,0.39326387258305,1.23868745142019
AUT,11.072467658222,89.2748984956674,-0.472974953738898,0.458501966657494,-0.0186074806639098,0.00413449358250517,3.63303990033957,0.362136108537591,3.99129394851317,-0.130187106861857,1.26610397540598
BEL,18.4516327034992,90.7723403967044,-2.37254824638528,0.531494570580353,-0.0243583494431405,-1.81669532636178,4.03443451893119,0.541035354510032,4.57049537873608,-0.588074545578155,0.98236569227843
CAN,15.8721295138024,59.2304084643583,1.64673603622013,2.44988932786116,-0.058236477953244,4.15486184203453,2.4329084678386,1.9455821695369,4.36635885016302,0.676859017915741,1.25920630144565
CHE,11.3466859308033,98.4058180720087,-1.01889602837868,0.0730638285732326,-0.00202513810805272,-0.943807061697392,2.94559907230297,0.0532477341933264,2.99842736766273,-0.345904518357302,1.37214906286829
CHL,25.4404702795099,53.2762643615123,-3.36678439520554,4.47625773304054,-0.0214127036839322,1.13088604151893,3.32757843151842,3.63795893772297,6.9614483269848,-1.01178213060758,1.23043107678457
COL,6.56127453922005,59.7463294966592,-1.40786068095361,1.06004362477647,-0.00719671879968331,-0.340620337377462,1.2109778562697,0.781827637487837,1.99154272212995,-1.16258168856233,1.3558533543053
CRI,9.07031768571525,84.2888960053935,-1.19321331663126,0.581352660857291,-0.0199973051902944,-0.591863350583672,2.35210285123873,0.417619144814498,2.76560664298735,-0.507296403302625,1.3920642003027
CZE,22.8852450790422,88.8795712802265,1.68506359562637,0.99205654661634,-0.0275064634493276,2.70462660569204,3.22701619585214,0.761747525591014,3.98289738767611,0.522173888619548,1.30234298542242
DEU,30.2389891337547,91.3191123121173,1.33241011800837,1.07997580971644,-0.0337499481020629,2.44613587582688,5.50404205987336,0.770159590419843,6.26722907533858,0.242078476783847,1.40227535065519
DNK,27.1706210692953,82.4431575426129,-3.58491850087862,1.97297988097568,-0.0159240251531862,-1.59601459474975,8.16198092277513,1.39102406437566,9.54968804162321,-0.439221622152447,1.41836502437592
ESP,21.626580633309,91.2745207409971,4.15575962627669,0.706756125293296,-0.0902624041763005,4.95277815574629,3.04390513402401,0.566050822194549,3.59050307563154,1.36527238639097,1.24857362198193
EST,16.6359016312724,97.0992271305067,1.22657640524309,0.187254898281402,-0.00372401676236223,1.41755532028686,4.58033764855708,0.143286393004345,4.72283938010643,0.267791699948037,1.30685750653046
FIN,11.674637749874,80.1129877777279,0.325402880730493,0.885079923323765,-0.0165812663055576,1.22706407035982,1.98809210181408,0.69440037250098,2.67897016216214,0.163675958691034,1.27459598003386
FRA,23.5850402262253,94.8701348858075,-2.46564035371282,0.221775499293791,-0.0193084414210816,-2.22455641299795,5.25484319525172,0.411601688244385,5.66235939827843,-0.469212926456259,0.538810956387802
GBR,26.3438098366218,92.0534223534628,3.27138082836335,0.85344801456818,-0.0305154286506095,4.15534427158214,5.17007274610631,0.616060832643017,5.77964325988921,0.63275334584549,1.38533074876182
GRC,17.7122902221157,86.0077135362859,-1.04923408221223,0.945435193051061,-0.0469224424180439,-0.0568764467431251,5.58855874022092,0.7603765335119,6.33987104706748,-0.187746811116233,1.24337765749351
HUN,10.9029520645541,84.4877598760903,-0.371252422671212,0.518247044701681,-0.00720572045187851,0.154200342482348,2.50589843023144,0.550987708168396,3.05547503458729,-0.148151424731498,0.940578232542515
IRL,11.3186484757125,63.3946362624946,-2.72507117836668,1.46306691966581,-0.0475586197370461,-1.21444563896383,3.09866781504466,1.31215203889965,4.40082708281464,-0.879433143861343,1.11501325783308
ISL,10.8066093853272,67.2790879733829,2.09025767765289,1.28856457889928,-0.0221705807199015,3.40099283727207,2.10404164111835,1.0841161836288,3.18396945235168,0.993448816222983,1.18858531802942
ISR,11.4627413987854,50.128370500831,-1.48582668513432,2.41435567652791,-0.0139048704034721,0.942433861797056,2.19960892410086,1.65567722352112,3.85246326301781,-0.675495843308459,1.45822847728333
ITA,30.0259444582738,96.9167042530665,-7.14791484259277,0.309764674696602,-0.00601124261635277,-6.83213892527981,7.3350324329269,0.30366352443421,7.63775707981156,-0.974489875532907,1.02009181140132
JPN,35.1294062409709,84.801005075756,6.90335403636079,1.84688824198252,-0.0459597943846646,8.79620207272798,6.30542031662516,1.63699219634138,7.9341792479875,1.09482852684048,1.12822055359228
KOR,13.4489654670007,80.8447020624508,0.157985264997674,1.03709056437174,-0.0287552475741464,1.22383107694356,3.10460270118244,0.757641987010819,3.85638709682501,0.0508874339822942,1.36883987708159
LTU,11.3503189973778,69.0029650919542,-1.09816263365623,1.43221752188161,-0.0419825802540004,0.376037468479378,2.79748619811931,1.02951912131838,3.81809105595208,-0.392553369662557,1.39115193902134
LUX,8.6321276322959,98.7560976741811,-0.221424852115337,0.0425929829367782,-0.000639851821818027,-0.178192017356741,2.15614817984019,0.031791894326469,2.18787135989938,-0.102694635825887,1.3397434735846
LVA,13.0009843811524,98.1071026556088,2.33050247031602,0.0941936002050525,-0.00701331384760806,2.43170938436868,3.03967410599725,0.0733404188860902,3.11151203520943,0.766694845910605,1.28433409074675
MEX,1.8932386925779,46.6478961636695,-0.000149626793799484,0.422189715970418,-8.50603509405801e-05,0.42212514952756,0.283989607635028,0.293249534699246,0.577220969462228,-0.000526874187564563,1.43969441043926
NLD,10.3852899177658,88.9686439721201,-0.908351716744658,0.420600349504301,-0.00289681007673437,-0.484854557163622,2.98128785894472,0.353658237196095,3.33449298377931,-0.304684337682905,1.18928475366202
NOR,6.8154258795952,98.1976321185264,0.163706319924039,0.0475595711434877,-0.000240975224869544,0.211506866292396,1.57308407647828,0.0368341632280607,1.60991586526992,0.104067114003553,1.29118098459357
NZL,18.5923501493174,73.1739060287184,0.865976078804096,1.78026733492581,-0.0282978784828245,2.67454129221273,4.80527153267253,1.5480939738587,6.34779224616379,0.180213765843627,1.14997368699034
POL,12.0431605819254,84.222520890551,-0.783860052110775,0.776921968221949,-0.015747523343066,0.00880943945423951,3.39003308130623,0.555450865660823,3.94218693257942,-0.231224897607413,1.39872312071679
PRT,13.8994802057305,89.872474190568,0.360489151592731,0.586088006575196,-0.00961024414122846,0.956187402309155,2.47507669754946,0.412805419213202,2.88584142714138,0.145647668999367,1.41976819900346
SVK,7.76692111196023,98.3866970385471,-0.831778344236504,0.0518230735613656,-0.000473814523303417,-0.779481456151835,3.25279840613332,0.0364881870791063,3.28919537088071,-0.255711618238666,1.42026989307562
SVN,17.6902121349061,95.9376111937215,-0.577145300591695,0.282634742708794,-0.0351013890290233,-0.259409168853878,5.74078862793634,0.212568858778653,5.94586786840459,-0.100534149225272,1.32961499785394
SWE,8.46088874384964,91.7146319132039,0.9479075793326,0.29924356386201,-0.000608148700127487,1.24775929189474,1.92826875792285,0.202201606122697,2.13034631442662,0.491584783209213,1.47992674044551
TUR,11.3681547876008,95.6414443544019,-1.52648496177793,0.154034090106706,-0.000632502798356915,-1.37181836887287,2.22179594915341,0.157658704326609,2.37934981083313,-0.687050024715178,0.977009742434555
USA,20.6904373933461,56.7424595704533,0.343923173839819,3.44613608603206,-0.0556027943287205,3.8456620542006,3.77071684498081,2.69522851217558,6.45409633950192,0.0912089631703887,1.27860627418577
