"h","var","coef","se","p"
0,"F_CP",0.26564677186704,0.0860619219516763,0.00222104545331337
0,"S_mean_tw:F_CP",-0.00755146703976747,0.00274980630710332,0.00640891377642954
0,"F_DI_lag2",0.207105178355868,0.112435806329225,0.0665052117966209
0,"S_mean_tw:y_lag1",0.0042843480108229,0.00129761088824159,0.00108206590498172
1,"F_CP",0.041903467249314,0.190261719954692,0.825839357754494
1,"S_mean_tw:F_CP",-0.00513114827373522,0.00435983452337973,0.240201783876529
1,"F_DI_lag2",0.13398922692485,0.174100948527944,0.442164078999535
1,"S_mean_tw:y_lag1",0.00378797016787746,0.00119700622454384,0.00171960034513163
2,"F_CP",0.233155978190782,0.120503970268272,0.0539889337626044
2,"S_mean_tw:F_CP",-0.00534683060540619,0.00229693750738111,0.0206150091908455
2,"F_DI_lag2",0.0424525775457001,0.113129873586079,0.70774686378565
2,"S_mean_tw:y_lag1",0.00178902158795339,0.00191862000167276,0.351883874584339
3,"F_CP",0.220194956270374,0.112529836728954,0.0513406080419734
3,"S_mean_tw:F_CP",-0.00443064967164431,0.00261248787616037,0.0909759169893355
3,"F_DI_lag2",0.081937685106151,0.0932704164300389,0.380406947947445
3,"S_mean_tw:y_lag1",0.00448395752932344,0.00201332677648246,0.0267109509325526
4,"F_CP",0.121713343263403,0.133739046658549,0.363652983519363
4,"S_mean_tw:F_CP",-0.00276230269425039,0.0029404478575761,0.348420522716256
4,"F_DI_lag2",-0.0515791571358128,0.0863092845153593,0.550639995164623
4,"S_mean_tw:y_lag1",0.00219298790984193,0.00194856962925298,0.2614798508754
5,"F_CP",0.130924956884075,0.0791670792245442,0.0996382476099358
5,"S_mean_tw:F_CP",-0.00133286790446166,0.00199836121994177,0.505503118746541
5,"F_DI_lag2",0.0736348160057853,0.128854556788929,0.568289709968221
5,"S_mean_tw:y_lag1",0.00243971208870349,0.0015627265751128,0.119956673065364
