"Country","theta_mean"
"AUS",0.000582871663019925
"AUT",0.00223387588974403
"BEL",0.013451301469667
"CAN",0.00150196043619186
"CHE",0.00466807719022362
"CHL",0.000437278786552242
"COL",0
"CRI",0.000140860460931939
"CZE",0.000606117489786228
"DEU",0.00147363820925906
"DNK",0.000524231487512543
"ESP",0.0203340225520743
"EST",0.000378293430141536
"FIN",0.000704293589171038
"FRA",0.00771709830390678
"GBR",0.00982023302755961
"GRC",0.000503622218754375
"HUN",0.000826453365897001
"IRL",0.00459765518066749
"ISL",0.0014567891502343
"ISR",0.000738903386128188
"ITA",0.0149951067203814
"JPN",0
"KOR",4.39790630952144e-05
"LTU",0.00206297264457462
"LUX",0.00227557795432888
"LVA",0
"MEX",0.000276882797367354
"NLD",0.00938109970000303
"NOR",0.000885578315745914
"NZL",0.000145295081101073
"POL",0.000167268542204695
"PRT",0.00364913092220862
"SVK",0.000661053510784095
"SVN",0.000768073565556403
"SWE",0.00553292802869215
"TUR",0.00025250366081297
"USA",0.00436380504322356
